OMRÃ…DE,CIVILSTAND,ALDER,TID,INDHOLD
Hele landet,Ugift,I ,2020,2859116
Hele landet,Ugift,0,2020,61381
Hele landet,Ugift,1,2020,61650
Hele landet,Ugift,2,2020,62532
Hele landet,Ugift,3,2020,61928
Hele landet,Ugift,4,2020,62597
Hele landet,Ugift,5,2020,59132
Hele landet,Ugift,6,2020,58528
Hele landet,Ugift,7,2020,59354
Hele landet,Ugift,8,2020,60586
Hele landet,Ugift,9,2020,63442
Hele landet,Ugift,10,2020,66642
Hele landet,Ugift,11,2020,66984
Hele landet,Ugift,12,2020,69063
Hele landet,Ugift,13,2020,67463
Hele landet,Ugift,14,2020,68501
Hele landet,Ugift,15,2020,68110
Hele landet,Ugift,16,2020,68059
Hele landet,Ugift,17,2020,67736
Hele landet,Ugift,18,2020,67886
Hele landet,Ugift,19,2020,70314
Hele landet,Ugift,20,2020,71873
Hele landet,Ugift,21,2020,72919
Hele landet,Ugift,22,2020,73281
Hele landet,Ugift,23,2020,76513
Hele landet,Ugift,24,2020,74894
Hele landet,Ugift,25,2020,76716
Hele landet,Ugift,26,2020,72077
Hele landet,Ugift,27,2020,68725
Hele landet,Ugift,28,2020,64341
Hele landet,Ugift,29,2020,58801
Hele landet,Ugift,30,2020,53898
Hele landet,Ugift,31,2020,48657
Hele landet,Ugift,32,2020,42918
Hele landet,Ugift,33,2020,38418
Hele landet,Ugift,34,2020,35288
Hele landet,Ugift,35,2020,32035
Hele landet,Ugift,36,2020,28768
Hele landet,Ugift,37,2020,26542
Hele landet,Ugift,38,2020,25126
Hele landet,Ugift,39,2020,23939
Hele landet,Ugift,40,2020,23638
Hele landet,Ugift,41,2020,22435
Hele landet,Ugift,42,2020,21848
Hele landet,Ugift,43,2020,20471
Hele landet,Ugift,44,2020,20984
Hele landet,Ugift,45,2020,21246
Hele landet,Ugift,46,2020,19926
Hele landet,Ugift,47,2020,19284
Hele landet,Ugift,48,2020,19343
Hele landet,Ugift,49,2020,18116
Hele landet,Ugift,50,2020,16711
Hele landet,Ugift,51,2020,16501
Hele landet,Ugift,52,2020,16584
Hele landet,Ugift,53,2020,17551
Hele landet,Ugift,54,2020,17493
Hele landet,Ugift,55,2020,16433
Hele landet,Ugift,56,2020,15761
Hele landet,Ugift,57,2020,14757
Hele landet,Ugift,58,2020,13577
Hele landet,Ugift,59,2020,12616
Hele landet,Ugift,60,2020,11951
Hele landet,Ugift,61,2020,11161
Hele landet,Ugift,62,2020,10690
Hele landet,Ugift,63,2020,10048
Hele landet,Ugift,64,2020,9495
Hele landet,Ugift,65,2020,8689
Hele landet,Ugift,66,2020,8074
Hele landet,Ugift,67,2020,7504
Hele landet,Ugift,68,2020,6670
Hele landet,Ugift,69,2020,5928
Hele landet,Ugift,70,2020,5457
Hele landet,Ugift,71,2020,4815
Hele landet,Ugift,72,2020,4407
Hele landet,Ugift,73,2020,4290
Hele landet,Ugift,74,2020,3913
Hele landet,Ugift,75,2020,3277
Hele landet,Ugift,76,2020,2859
Hele landet,Ugift,77,2020,2361
Hele landet,Ugift,78,2020,1973
Hele landet,Ugift,79,2020,1652
Hele landet,Ugift,80,2020,1509
Hele landet,Ugift,81,2020,1382
Hele landet,Ugift,82,2020,1216
Hele landet,Ugift,83,2020,1062
Hele landet,Ugift,84,2020,942
Hele landet,Ugift,85,2020,813
Hele landet,Ugift,86,2020,671
Hele landet,Ugift,87,2020,637
Hele landet,Ugift,88,2020,511
Hele landet,Ugift,89,2020,460
Hele landet,Ugift,90,2020,398
Hele landet,Ugift,91,2020,338
Hele landet,Ugift,92,2020,256
Hele landet,Ugift,93,2020,222
Hele landet,Ugift,94,2020,151
Hele landet,Ugift,95,2020,143
Hele landet,Ugift,96,2020,96
Hele landet,Ugift,97,2020,64
Hele landet,Ugift,98,2020,46
Hele landet,Ugift,99,2020,42
Hele landet,Ugift,100,2020,26
Hele landet,Ugift,101,2020,7
Hele landet,Ugift,102,2020,9
Hele landet,Ugift,103,2020,3
Hele landet,Ugift,104,2020,2
Hele landet,Ugift,105,2020,2
Hele landet,Ugift,106,2020,1
Hele landet,Ugift,107,2020,0
Hele landet,Ugift,108,2020,1
Hele landet,Ugift,109,2020,0
Hele landet,Ugift,110,2020,0
Hele landet,Ugift,111,2020,0
Hele landet,Ugift,112,2020,0
Hele landet,Ugift,113,2020,0
Hele landet,Ugift,114,2020,0
Hele landet,Ugift,115,2020,0
Hele landet,Ugift,116,2020,0
Hele landet,Ugift,117,2020,0
Hele landet,Ugift,118,2020,0
Hele landet,Ugift,119,2020,0
Hele landet,Ugift,120,2020,0
Hele landet,Ugift,121,2020,0
Hele landet,Ugift,122,2020,0
Hele landet,Ugift,123,2020,0
Hele landet,Ugift,124,2020,0
Hele landet,Ugift,125,2020,0
Hele landet,Gift/separeret,I ,2020,2138124
Hele landet,Gift/separeret,0,2020,0
Hele landet,Gift/separeret,1,2020,0
Hele landet,Gift/separeret,2,2020,0
Hele landet,Gift/separeret,3,2020,0
Hele landet,Gift/separeret,4,2020,0
Hele landet,Gift/separeret,5,2020,0
Hele landet,Gift/separeret,6,2020,0
Hele landet,Gift/separeret,7,2020,0
Hele landet,Gift/separeret,8,2020,0
Hele landet,Gift/separeret,9,2020,0
Hele landet,Gift/separeret,10,2020,0
Hele landet,Gift/separeret,11,2020,0
Hele landet,Gift/separeret,12,2020,0
Hele landet,Gift/separeret,13,2020,0
Hele landet,Gift/separeret,14,2020,0
Hele landet,Gift/separeret,15,2020,0
Hele landet,Gift/separeret,16,2020,0
Hele landet,Gift/separeret,17,2020,0
Hele landet,Gift/separeret,18,2020,13
Hele landet,Gift/separeret,19,2020,74
Hele landet,Gift/separeret,20,2020,231
Hele landet,Gift/separeret,21,2020,575
Hele landet,Gift/separeret,22,2020,1104
Hele landet,Gift/separeret,23,2020,1971
Hele landet,Gift/separeret,24,2020,3323
Hele landet,Gift/separeret,25,2020,5390
Hele landet,Gift/separeret,26,2020,7782
Hele landet,Gift/separeret,27,2020,11080
Hele landet,Gift/separeret,28,2020,14725
Hele landet,Gift/separeret,29,2020,18106
Hele landet,Gift/separeret,30,2020,22054
Hele landet,Gift/separeret,31,2020,24633
Hele landet,Gift/separeret,32,2020,27145
Hele landet,Gift/separeret,33,2020,28876
Hele landet,Gift/separeret,34,2020,30431
Hele landet,Gift/separeret,35,2020,31269
Hele landet,Gift/separeret,36,2020,31867
Hele landet,Gift/separeret,37,2020,32675
Hele landet,Gift/separeret,38,2020,33934
Hele landet,Gift/separeret,39,2020,35034
Hele landet,Gift/separeret,40,2020,37745
Hele landet,Gift/separeret,41,2020,38791
Hele landet,Gift/separeret,42,2020,40136
Hele landet,Gift/separeret,43,2020,39917
Hele landet,Gift/separeret,44,2020,42480
Hele landet,Gift/separeret,45,2020,44804
Hele landet,Gift/separeret,46,2020,44188
Hele landet,Gift/separeret,47,2020,44168
Hele landet,Gift/separeret,48,2020,46608
Hele landet,Gift/separeret,49,2020,45038
Hele landet,Gift/separeret,50,2020,43636
Hele landet,Gift/separeret,51,2020,43729
Hele landet,Gift/separeret,52,2020,45571
Hele landet,Gift/separeret,53,2020,49121
Hele landet,Gift/separeret,54,2020,51013
Hele landet,Gift/separeret,55,2020,49791
Hele landet,Gift/separeret,56,2020,48603
Hele landet,Gift/separeret,57,2020,47007
Hele landet,Gift/separeret,58,2020,45561
Hele landet,Gift/separeret,59,2020,44281
Hele landet,Gift/separeret,60,2020,44092
Hele landet,Gift/separeret,61,2020,43280
Hele landet,Gift/separeret,62,2020,42965
Hele landet,Gift/separeret,63,2020,42660
Hele landet,Gift/separeret,64,2020,42952
Hele landet,Gift/separeret,65,2020,41960
Hele landet,Gift/separeret,66,2020,40955
Hele landet,Gift/separeret,67,2020,42051
Hele landet,Gift/separeret,68,2020,39872
Hele landet,Gift/separeret,69,2020,39285
Hele landet,Gift/separeret,70,2020,40086
Hele landet,Gift/separeret,71,2020,39555
Hele landet,Gift/separeret,72,2020,40784
Hele landet,Gift/separeret,73,2020,42657
Hele landet,Gift/separeret,74,2020,42096
Hele landet,Gift/separeret,75,2020,38275
Hele landet,Gift/separeret,76,2020,34132
Hele landet,Gift/separeret,77,2020,29610
Hele landet,Gift/separeret,78,2020,25945
Hele landet,Gift/separeret,79,2020,21604
Hele landet,Gift/separeret,80,2020,19583
Hele landet,Gift/separeret,81,2020,17003
Hele landet,Gift/separeret,82,2020,14868
Hele landet,Gift/separeret,83,2020,12496
Hele landet,Gift/separeret,84,2020,10253
Hele landet,Gift/separeret,85,2020,8393
Hele landet,Gift/separeret,86,2020,6525
Hele landet,Gift/separeret,87,2020,5177
Hele landet,Gift/separeret,88,2020,4078
Hele landet,Gift/separeret,89,2020,3095
Hele landet,Gift/separeret,90,2020,2243
Hele landet,Gift/separeret,91,2020,1681
Hele landet,Gift/separeret,92,2020,1223
Hele landet,Gift/separeret,93,2020,823
Hele landet,Gift/separeret,94,2020,594
Hele landet,Gift/separeret,95,2020,347
Hele landet,Gift/separeret,96,2020,195
Hele landet,Gift/separeret,97,2020,110
Hele landet,Gift/separeret,98,2020,60
Hele landet,Gift/separeret,99,2020,40
Hele landet,Gift/separeret,100,2020,18
Hele landet,Gift/separeret,101,2020,14
Hele landet,Gift/separeret,102,2020,7
Hele landet,Gift/separeret,103,2020,2
Hele landet,Gift/separeret,104,2020,0
Hele landet,Gift/separeret,105,2020,0
Hele landet,Gift/separeret,106,2020,0
Hele landet,Gift/separeret,107,2020,0
Hele landet,Gift/separeret,108,2020,0
Hele landet,Gift/separeret,109,2020,0
Hele landet,Gift/separeret,110,2020,0
Hele landet,Gift/separeret,111,2020,0
Hele landet,Gift/separeret,112,2020,0
Hele landet,Gift/separeret,113,2020,0
Hele landet,Gift/separeret,114,2020,0
Hele landet,Gift/separeret,115,2020,0
Hele landet,Gift/separeret,116,2020,0
Hele landet,Gift/separeret,117,2020,0
Hele landet,Gift/separeret,118,2020,0
Hele landet,Gift/separeret,119,2020,0
Hele landet,Gift/separeret,120,2020,0
Hele landet,Gift/separeret,121,2020,0
Hele landet,Gift/separeret,122,2020,0
Hele landet,Gift/separeret,123,2020,0
Hele landet,Gift/separeret,124,2020,0
Hele landet,Gift/separeret,125,2020,0
