OMRÅDE;TID;ALDER;KØN;CIVILSTAND;INDHOLD
Hele landet;2008K4;I alt;I alt;I alt;5505995
Hele landet;2008K4;I alt;I alt;Ugift;2568255
Hele landet;2008K4;I alt;I alt;Gift/separeret;2191033
Hele landet;2008K4;I alt;I alt;Enke/enkemand;314551
Hele landet;2008K4;I alt;I alt;Fraskilt;432156
Hele landet;2009K4;I alt;I alt;I alt;5532531
Hele landet;2009K4;I alt;I alt;Ugift;2588198
Hele landet;2009K4;I alt;I alt;Gift/separeret;2193779
Hele landet;2009K4;I alt;I alt;Enke/enkemand;311126
Hele landet;2009K4;I alt;I alt;Fraskilt;439428
Hele landet;2010K4;I alt;I alt;I alt;5557709
Hele landet;2010K4;I alt;I alt;Ugift;2610799
Hele landet;2010K4;I alt;I alt;Gift/separeret;2191517
Hele landet;2010K4;I alt;I alt;Enke/enkemand;308135
Hele landet;2010K4;I alt;I alt;Fraskilt;447258
Hele landet;2011K4;I alt;I alt;I alt;5579204
Hele landet;2011K4;I alt;I alt;Ugift;2634540
Hele landet;2011K4;I alt;I alt;Gift/separeret;2183712
Hele landet;2011K4;I alt;I alt;Enke/enkemand;305106
Hele landet;2011K4;I alt;I alt;Fraskilt;455846
Hele landet;2012K4;I alt;I alt;I alt;5599665
Hele landet;2012K4;I alt;I alt;Ugift;2657677
Hele landet;2012K4;I alt;I alt;Gift/separeret;2173196
Hele landet;2012K4;I alt;I alt;Enke/enkemand;302436
Hele landet;2012K4;I alt;I alt;Fraskilt;466356
Hele landet;2013K4;I alt;I alt;I alt;5623501
Hele landet;2013K4;I alt;I alt;Ugift;2681019
Hele landet;2013K4;I alt;I alt;Gift/separeret;2165925
Hele landet;2013K4;I alt;I alt;Enke/enkemand;299501
Hele landet;2013K4;I alt;I alt;Fraskilt;477056
Hele landet;2014K4;I alt;I alt;I alt;5655750
Hele landet;2014K4;I alt;I alt;Ugift;2709113
Hele landet;2014K4;I alt;I alt;Gift/separeret;2148451
Hele landet;2014K4;I alt;I alt;Enke/enkemand;297391
Hele landet;2014K4;I alt;I alt;Fraskilt;500795
Hele landet;2015K4;I alt;I alt;I alt;5699220
Hele landet;2015K4;I alt;I alt;Ugift;2744254
Hele landet;2015K4;I alt;I alt;Gift/separeret;2146756
Hele landet;2015K4;I alt;I alt;Enke/enkemand;295150
Hele landet;2015K4;I alt;I alt;Fraskilt;513060
Hele landet;2016K4;I alt;I alt;I alt;5745526
Hele landet;2016K4;I alt;I alt;Ugift;2780475
Hele landet;2016K4;I alt;I alt;Gift/separeret;2145540
Hele landet;2016K4;I alt;I alt;Enke/enkemand;293171
Hele landet;2016K4;I alt;I alt;Fraskilt;526340
Hele landet;2017K4;I alt;I alt;I alt;5778570
Hele landet;2017K4;I alt;I alt;Ugift;2806141
Hele landet;2017K4;I alt;I alt;Gift/separeret;2145883
Hele landet;2017K4;I alt;I alt;Enke/enkemand;291174
Hele landet;2017K4;I alt;I alt;Fraskilt;535372
Hele landet;2018K4;I alt;I alt;I alt;5806015
Hele landet;2018K4;I alt;I alt;Ugift;2827695
Hele landet;2018K4;I alt;I alt;Gift/separeret;2146813
Hele landet;2018K4;I alt;I alt;Enke/enkemand;289227
Hele landet;2018K4;I alt;I alt;Fraskilt;542280
Hele landet;2019K4;I alt;I alt;I alt;5827463
Hele landet;2019K4;I alt;I alt;Ugift;2845453
Hele landet;2019K4;I alt;I alt;Gift/separeret;2149938
Hele landet;2019K4;I alt;I alt;Enke/enkemand;288226
Hele landet;2019K4;I alt;I alt;Fraskilt;543846
Hele landet;2020K4;I alt;I alt;I alt;5837213
Hele landet;2020K4;I alt;I alt;Ugift;2859116
Hele landet;2020K4;I alt;I alt;Gift/separeret;2138124
Hele landet;2020K4;I alt;I alt;Enke/enkemand;287554
Hele landet;2020K4;I alt;I alt;Fraskilt;552419
Region Hovedstaden;2008K4;I alt;I alt;I alt;1660042
Region Hovedstaden;2008K4;I alt;I alt;Ugift;820315
Region Hovedstaden;2008K4;I alt;I alt;Gift/separeret;602049
Region Hovedstaden;2008K4;I alt;I alt;Enke/enkemand;87638
Region Hovedstaden;2008K4;I alt;I alt;Fraskilt;150040
Region Hovedstaden;2009K4;I alt;I alt;I alt;1678220
Region Hovedstaden;2009K4;I alt;I alt;Ugift;834608
Region Hovedstaden;2009K4;I alt;I alt;Gift/separeret;606165
Region Hovedstaden;2009K4;I alt;I alt;Enke/enkemand;86210
Region Hovedstaden;2009K4;I alt;I alt;Fraskilt;151237
Region Hovedstaden;2010K4;I alt;I alt;I alt;1697490
Region Hovedstaden;2010K4;I alt;I alt;Ugift;850753
Region Hovedstaden;2010K4;I alt;I alt;Gift/separeret;609109
Region Hovedstaden;2010K4;I alt;I alt;Enke/enkemand;84846
Region Hovedstaden;2010K4;I alt;I alt;Fraskilt;152782
Region Hovedstaden;2011K4;I alt;I alt;I alt;1713624
Region Hovedstaden;2011K4;I alt;I alt;Ugift;865392
Region Hovedstaden;2011K4;I alt;I alt;Gift/separeret;609487
Region Hovedstaden;2011K4;I alt;I alt;Enke/enkemand;83678
Region Hovedstaden;2011K4;I alt;I alt;Fraskilt;155067
Region Hovedstaden;2012K4;I alt;I alt;I alt;1729952
Region Hovedstaden;2012K4;I alt;I alt;Ugift;880663
Region Hovedstaden;2012K4;I alt;I alt;Gift/separeret;609041
Region Hovedstaden;2012K4;I alt;I alt;Enke/enkemand;82603
Region Hovedstaden;2012K4;I alt;I alt;Fraskilt;157645
Region Hovedstaden;2013K4;I alt;I alt;I alt;1747596
Region Hovedstaden;2013K4;I alt;I alt;Ugift;896113
Region Hovedstaden;2013K4;I alt;I alt;Gift/separeret;610228
Region Hovedstaden;2013K4;I alt;I alt;Enke/enkemand;81334
Region Hovedstaden;2013K4;I alt;I alt;Fraskilt;159921
Region Hovedstaden;2014K4;I alt;I alt;I alt;1766677
Region Hovedstaden;2014K4;I alt;I alt;Ugift;912066
Region Hovedstaden;2014K4;I alt;I alt;Gift/separeret;607557
Region Hovedstaden;2014K4;I alt;I alt;Enke/enkemand;80388
Region Hovedstaden;2014K4;I alt;I alt;Fraskilt;166666
Region Hovedstaden;2015K4;I alt;I alt;I alt;1786469
Region Hovedstaden;2015K4;I alt;I alt;Ugift;928363
Region Hovedstaden;2015K4;I alt;I alt;Gift/separeret;609331
Region Hovedstaden;2015K4;I alt;I alt;Enke/enkemand;79357
Region Hovedstaden;2015K4;I alt;I alt;Fraskilt;169418
Region Hovedstaden;2016K4;I alt;I alt;I alt;1806249
Region Hovedstaden;2016K4;I alt;I alt;Ugift;943665
Region Hovedstaden;2016K4;I alt;I alt;Gift/separeret;611311
Region Hovedstaden;2016K4;I alt;I alt;Enke/enkemand;78517
Region Hovedstaden;2016K4;I alt;I alt;Fraskilt;172756
Region Hovedstaden;2017K4;I alt;I alt;I alt;1821577
Region Hovedstaden;2017K4;I alt;I alt;Ugift;955075
Region Hovedstaden;2017K4;I alt;I alt;Gift/separeret;614079
Region Hovedstaden;2017K4;I alt;I alt;Enke/enkemand;77744
Region Hovedstaden;2017K4;I alt;I alt;Fraskilt;174679
Region Hovedstaden;2018K4;I alt;I alt;I alt;1835537
Region Hovedstaden;2018K4;I alt;I alt;Ugift;965366
Region Hovedstaden;2018K4;I alt;I alt;Gift/separeret;617464
Region Hovedstaden;2018K4;I alt;I alt;Enke/enkemand;76999
Region Hovedstaden;2018K4;I alt;I alt;Fraskilt;175708
Region Hovedstaden;2019K4;I alt;I alt;I alt;1848989
Region Hovedstaden;2019K4;I alt;I alt;Ugift;975943
Region Hovedstaden;2019K4;I alt;I alt;Gift/separeret;620854
Region Hovedstaden;2019K4;I alt;I alt;Enke/enkemand;76582
Region Hovedstaden;2019K4;I alt;I alt;Fraskilt;175610
Region Hovedstaden;2020K4;I alt;I alt;I alt;1854296
Region Hovedstaden;2020K4;I alt;I alt;Ugift;981652
Region Hovedstaden;2020K4;I alt;I alt;Gift/separeret;619225
Region Hovedstaden;2020K4;I alt;I alt;Enke/enkemand;76188
Region Hovedstaden;2020K4;I alt;I alt;Fraskilt;177231
Region Syddanmark;2008K4;I alt;I alt;I alt;1198899
Region Syddanmark;2008K4;I alt;I alt;Ugift;540642
Region Syddanmark;2008K4;I alt;I alt;Gift/separeret;496875
Region Syddanmark;2008K4;I alt;I alt;Enke/enkemand;72328
Region Syddanmark;2008K4;I alt;I alt;Fraskilt;89054
Region Syddanmark;2009K4;I alt;I alt;I alt;1200372
Region Syddanmark;2009K4;I alt;I alt;Ugift;541438
Region Syddanmark;2009K4;I alt;I alt;Gift/separeret;496290
Region Syddanmark;2009K4;I alt;I alt;Enke/enkemand;71665
Region Syddanmark;2009K4;I alt;I alt;Fraskilt;90979
Region Syddanmark;2010K4;I alt;I alt;I alt;1200666
Region Syddanmark;2010K4;I alt;I alt;Ugift;542093
Region Syddanmark;2010K4;I alt;I alt;Gift/separeret;494487
Region Syddanmark;2010K4;I alt;I alt;Enke/enkemand;71070
Region Syddanmark;2010K4;I alt;I alt;Fraskilt;93016
Region Syddanmark;2011K4;I alt;I alt;I alt;1201365
Region Syddanmark;2011K4;I alt;I alt;Ugift;544012
Region Syddanmark;2011K4;I alt;I alt;Gift/separeret;491966
Region Syddanmark;2011K4;I alt;I alt;Enke/enkemand;70465
Region Syddanmark;2011K4;I alt;I alt;Fraskilt;94922
Region Syddanmark;2012K4;I alt;I alt;I alt;1201547
Region Syddanmark;2012K4;I alt;I alt;Ugift;545677
Region Syddanmark;2012K4;I alt;I alt;Gift/separeret;488918
Region Syddanmark;2012K4;I alt;I alt;Enke/enkemand;69829
Region Syddanmark;2012K4;I alt;I alt;Fraskilt;97123
Region Syddanmark;2013K4;I alt;I alt;I alt;1201955
Region Syddanmark;2013K4;I alt;I alt;Ugift;547137
Region Syddanmark;2013K4;I alt;I alt;Gift/separeret;486002
Region Syddanmark;2013K4;I alt;I alt;Enke/enkemand;69183
Region Syddanmark;2013K4;I alt;I alt;Fraskilt;99633
Region Syddanmark;2014K4;I alt;I alt;I alt;1205025
Region Syddanmark;2014K4;I alt;I alt;Ugift;550528
Region Syddanmark;2014K4;I alt;I alt;Gift/separeret;480952
Region Syddanmark;2014K4;I alt;I alt;Enke/enkemand;68754
Region Syddanmark;2014K4;I alt;I alt;Fraskilt;104791
Region Syddanmark;2015K4;I alt;I alt;I alt;1210297
Region Syddanmark;2015K4;I alt;I alt;Ugift;555067
Region Syddanmark;2015K4;I alt;I alt;Gift/separeret;479501
Region Syddanmark;2015K4;I alt;I alt;Enke/enkemand;68185
Region Syddanmark;2015K4;I alt;I alt;Fraskilt;107544
Region Syddanmark;2016K4;I alt;I alt;I alt;1217170
Region Syddanmark;2016K4;I alt;I alt;Ugift;561002
Region Syddanmark;2016K4;I alt;I alt;Gift/separeret;477881
Region Syddanmark;2016K4;I alt;I alt;Enke/enkemand;67755
Region Syddanmark;2016K4;I alt;I alt;Fraskilt;110532
Region Syddanmark;2017K4;I alt;I alt;I alt;1220306
Region Syddanmark;2017K4;I alt;I alt;Ugift;564060
Region Syddanmark;2017K4;I alt;I alt;Gift/separeret;476417
Region Syddanmark;2017K4;I alt;I alt;Enke/enkemand;67252
Region Syddanmark;2017K4;I alt;I alt;Fraskilt;112577
Region Syddanmark;2018K4;I alt;I alt;I alt;1223204
Region Syddanmark;2018K4;I alt;I alt;Ugift;566870
Region Syddanmark;2018K4;I alt;I alt;Gift/separeret;475123
Region Syddanmark;2018K4;I alt;I alt;Enke/enkemand;66959
Region Syddanmark;2018K4;I alt;I alt;Fraskilt;114252
Region Syddanmark;2019K4;I alt;I alt;I alt;1223894
Region Syddanmark;2019K4;I alt;I alt;Ugift;568170
Region Syddanmark;2019K4;I alt;I alt;Gift/separeret;474320
Region Syddanmark;2019K4;I alt;I alt;Enke/enkemand;66783
Region Syddanmark;2019K4;I alt;I alt;Fraskilt;114621
Region Syddanmark;2020K4;I alt;I alt;I alt;1223183
Region Syddanmark;2020K4;I alt;I alt;Ugift;568943
Region Syddanmark;2020K4;I alt;I alt;Gift/separeret;470609
Region Syddanmark;2020K4;I alt;I alt;Enke/enkemand;66696
Region Syddanmark;2020K4;I alt;I alt;Fraskilt;116935
Region Sjælland;2008K4;I alt;I alt;I alt;821308
Region Sjælland;2008K4;I alt;I alt;Ugift;351145
Region Sjælland;2008K4;I alt;I alt;Gift/separeret;350646
Region Sjælland;2008K4;I alt;I alt;Enke/enkemand;50578
Region Sjælland;2008K4;I alt;I alt;Fraskilt;68939
Region Sjælland;2009K4;I alt;I alt;I alt;820771
Region Sjælland;2009K4;I alt;I alt;Ugift;351004
Region Sjælland;2009K4;I alt;I alt;Gift/separeret;349391
Region Sjælland;2009K4;I alt;I alt;Enke/enkemand;50206
Region Sjælland;2009K4;I alt;I alt;Fraskilt;70170
Region Sjælland;2010K4;I alt;I alt;I alt;820308
Region Sjælland;2010K4;I alt;I alt;Ugift;351394
Region Sjælland;2010K4;I alt;I alt;Gift/separeret;347335
Region Sjælland;2010K4;I alt;I alt;Enke/enkemand;50011
Region Sjælland;2010K4;I alt;I alt;Fraskilt;71568
Region Sjælland;2011K4;I alt;I alt;I alt;818321
Region Sjælland;2011K4;I alt;I alt;Ugift;351359
Region Sjælland;2011K4;I alt;I alt;Gift/separeret;344241
Region Sjælland;2011K4;I alt;I alt;Enke/enkemand;49711
Region Sjælland;2011K4;I alt;I alt;Fraskilt;73010
Region Sjælland;2012K4;I alt;I alt;I alt;816670
Region Sjælland;2012K4;I alt;I alt;Ugift;351195
Region Sjælland;2012K4;I alt;I alt;Gift/separeret;340648
Region Sjælland;2012K4;I alt;I alt;Enke/enkemand;49544
Region Sjælland;2012K4;I alt;I alt;Fraskilt;75283
Region Sjælland;2013K4;I alt;I alt;I alt;816460
Region Sjælland;2013K4;I alt;I alt;Ugift;351695
Region Sjælland;2013K4;I alt;I alt;Gift/separeret;337912
Region Sjælland;2013K4;I alt;I alt;Enke/enkemand;49352
Region Sjælland;2013K4;I alt;I alt;Fraskilt;77501
Region Sjælland;2014K4;I alt;I alt;I alt;819385
Region Sjælland;2014K4;I alt;I alt;Ugift;354406
Region Sjælland;2014K4;I alt;I alt;Gift/separeret;334025
Region Sjælland;2014K4;I alt;I alt;Enke/enkemand;49245
Region Sjælland;2014K4;I alt;I alt;Fraskilt;81709
Region Sjælland;2015K4;I alt;I alt;I alt;825893
Region Sjælland;2015K4;I alt;I alt;Ugift;359334
Region Sjælland;2015K4;I alt;I alt;Gift/separeret;333262
Region Sjælland;2015K4;I alt;I alt;Enke/enkemand;49164
Region Sjælland;2015K4;I alt;I alt;Fraskilt;84133
Region Sjælland;2016K4;I alt;I alt;I alt;831789
Region Sjælland;2016K4;I alt;I alt;Ugift;363620
Region Sjælland;2016K4;I alt;I alt;Gift/separeret;332468
Region Sjælland;2016K4;I alt;I alt;Enke/enkemand;49089
Region Sjælland;2016K4;I alt;I alt;Fraskilt;86612
Region Sjælland;2017K4;I alt;I alt;I alt;834740
Region Sjælland;2017K4;I alt;I alt;Ugift;365950
Region Sjælland;2017K4;I alt;I alt;Gift/separeret;331399
Region Sjælland;2017K4;I alt;I alt;Enke/enkemand;49022
Region Sjælland;2017K4;I alt;I alt;Fraskilt;88369
Region Sjælland;2018K4;I alt;I alt;I alt;836694
Region Sjælland;2018K4;I alt;I alt;Ugift;367689
Region Sjælland;2018K4;I alt;I alt;Gift/separeret;330453
Region Sjælland;2018K4;I alt;I alt;Enke/enkemand;48764
Region Sjælland;2018K4;I alt;I alt;Fraskilt;89788
Region Sjælland;2019K4;I alt;I alt;I alt;837087
Region Sjælland;2019K4;I alt;I alt;Ugift;367918
Region Sjælland;2019K4;I alt;I alt;Gift/separeret;330307
Region Sjælland;2019K4;I alt;I alt;Enke/enkemand;48727
Region Sjælland;2019K4;I alt;I alt;Fraskilt;90135
Region Sjælland;2020K4;I alt;I alt;I alt;838129
Region Sjælland;2020K4;I alt;I alt;Ugift;369548
Region Sjælland;2020K4;I alt;I alt;Gift/separeret;328266
Region Sjælland;2020K4;I alt;I alt;Enke/enkemand;48698
Region Sjælland;2020K4;I alt;I alt;Fraskilt;91617
Region Midtjylland;2008K4;I alt;I alt;I alt;1245355
Region Midtjylland;2008K4;I alt;I alt;Ugift;591211
Region Midtjylland;2008K4;I alt;I alt;Gift/separeret;502742
Region Midtjylland;2008K4;I alt;I alt;Enke/enkemand;66955
Region Midtjylland;2008K4;I alt;I alt;Fraskilt;84447
Region Midtjylland;2009K4;I alt;I alt;I alt;1253479
Region Midtjylland;2009K4;I alt;I alt;Ugift;596624
Region Midtjylland;2009K4;I alt;I alt;Gift/separeret;504066
Region Midtjylland;2009K4;I alt;I alt;Enke/enkemand;66418
Region Midtjylland;2009K4;I alt;I alt;Fraskilt;86371
Region Midtjylland;2010K4;I alt;I alt;I alt;1259970
Region Midtjylland;2010K4;I alt;I alt;Ugift;601657
Region Midtjylland;2010K4;I alt;I alt;Gift/separeret;503972
Region Midtjylland;2010K4;I alt;I alt;Enke/enkemand;65944
Region Midtjylland;2010K4;I alt;I alt;Fraskilt;88397
Region Midtjylland;2011K4;I alt;I alt;I alt;1265601
Region Midtjylland;2011K4;I alt;I alt;Ugift;606817
Region Midtjylland;2011K4;I alt;I alt;Gift/separeret;503076
Region Midtjylland;2011K4;I alt;I alt;Enke/enkemand;65410
Region Midtjylland;2011K4;I alt;I alt;Fraskilt;90298
Region Midtjylland;2012K4;I alt;I alt;I alt;1271223
Region Midtjylland;2012K4;I alt;I alt;Ugift;612115
Region Midtjylland;2012K4;I alt;I alt;Gift/separeret;501291
Region Midtjylland;2012K4;I alt;I alt;Enke/enkemand;65039
Region Midtjylland;2012K4;I alt;I alt;Fraskilt;92778
Region Midtjylland;2013K4;I alt;I alt;I alt;1276604
Region Midtjylland;2013K4;I alt;I alt;Ugift;616718
Region Midtjylland;2013K4;I alt;I alt;Gift/separeret;499959
Region Midtjylland;2013K4;I alt;I alt;Enke/enkemand;64602
Region Midtjylland;2013K4;I alt;I alt;Fraskilt;95325
Region Midtjylland;2014K4;I alt;I alt;I alt;1282250
Region Midtjylland;2014K4;I alt;I alt;Ugift;620844
Region Midtjylland;2014K4;I alt;I alt;Gift/separeret;496547
Region Midtjylland;2014K4;I alt;I alt;Enke/enkemand;64267
Region Midtjylland;2014K4;I alt;I alt;Fraskilt;100592
Region Midtjylland;2015K4;I alt;I alt;I alt;1291643
Region Midtjylland;2015K4;I alt;I alt;Ugift;627657
Region Midtjylland;2015K4;I alt;I alt;Gift/separeret;496056
Region Midtjylland;2015K4;I alt;I alt;Enke/enkemand;64039
Region Midtjylland;2015K4;I alt;I alt;Fraskilt;103891
Region Midtjylland;2016K4;I alt;I alt;I alt;1302897
Region Midtjylland;2016K4;I alt;I alt;Ugift;636065
Region Midtjylland;2016K4;I alt;I alt;Gift/separeret;496115
Region Midtjylland;2016K4;I alt;I alt;Enke/enkemand;63649
Region Midtjylland;2016K4;I alt;I alt;Fraskilt;107068
Region Midtjylland;2017K4;I alt;I alt;I alt;1312985
Region Midtjylland;2017K4;I alt;I alt;Ugift;643666
Region Midtjylland;2017K4;I alt;I alt;Gift/separeret;496838
Region Midtjylland;2017K4;I alt;I alt;Enke/enkemand;63265
Region Midtjylland;2017K4;I alt;I alt;Fraskilt;109216
Region Midtjylland;2018K4;I alt;I alt;I alt;1320570
Region Midtjylland;2018K4;I alt;I alt;Ugift;648985
Region Midtjylland;2018K4;I alt;I alt;Gift/separeret;497372
Region Midtjylland;2018K4;I alt;I alt;Enke/enkemand;62958
Region Midtjylland;2018K4;I alt;I alt;Fraskilt;111255
Region Midtjylland;2019K4;I alt;I alt;I alt;1326913
Region Midtjylland;2019K4;I alt;I alt;Ugift;653353
Region Midtjylland;2019K4;I alt;I alt;Gift/separeret;498621
Region Midtjylland;2019K4;I alt;I alt;Enke/enkemand;62785
Region Midtjylland;2019K4;I alt;I alt;Fraskilt;112154
Region Midtjylland;2020K4;I alt;I alt;I alt;1330866
Region Midtjylland;2020K4;I alt;I alt;Ugift;657563
Region Midtjylland;2020K4;I alt;I alt;Gift/separeret;496269
Region Midtjylland;2020K4;I alt;I alt;Enke/enkemand;62693
Region Midtjylland;2020K4;I alt;I alt;Fraskilt;114341
Region Nordjylland;2008K4;I alt;I alt;I alt;580391
Region Nordjylland;2008K4;I alt;I alt;Ugift;264942
Region Nordjylland;2008K4;I alt;I alt;Gift/separeret;238721
Region Nordjylland;2008K4;I alt;I alt;Enke/enkemand;37052
Region Nordjylland;2008K4;I alt;I alt;Fraskilt;39676
Region Nordjylland;2009K4;I alt;I alt;I alt;579689
Region Nordjylland;2009K4;I alt;I alt;Ugift;264524
Region Nordjylland;2009K4;I alt;I alt;Gift/separeret;237867
Region Nordjylland;2009K4;I alt;I alt;Enke/enkemand;36627
Region Nordjylland;2009K4;I alt;I alt;Fraskilt;40671
Region Nordjylland;2010K4;I alt;I alt;I alt;579275
Region Nordjylland;2010K4;I alt;I alt;Ugift;264902
Region Nordjylland;2010K4;I alt;I alt;Gift/separeret;236614
Region Nordjylland;2010K4;I alt;I alt;Enke/enkemand;36264
Region Nordjylland;2010K4;I alt;I alt;Fraskilt;41495
Region Nordjylland;2011K4;I alt;I alt;I alt;580293
Region Nordjylland;2011K4;I alt;I alt;Ugift;266960
Region Nordjylland;2011K4;I alt;I alt;Gift/separeret;234942
Region Nordjylland;2011K4;I alt;I alt;Enke/enkemand;35842
Region Nordjylland;2011K4;I alt;I alt;Fraskilt;42549
Region Nordjylland;2012K4;I alt;I alt;I alt;580273
Region Nordjylland;2012K4;I alt;I alt;Ugift;268027
Region Nordjylland;2012K4;I alt;I alt;Gift/separeret;233298
Region Nordjylland;2012K4;I alt;I alt;Enke/enkemand;35421
Region Nordjylland;2012K4;I alt;I alt;Fraskilt;43527
Region Nordjylland;2013K4;I alt;I alt;I alt;580886
Region Nordjylland;2013K4;I alt;I alt;Ugift;269356
Region Nordjylland;2013K4;I alt;I alt;Gift/separeret;231824
Region Nordjylland;2013K4;I alt;I alt;Enke/enkemand;35030
Region Nordjylland;2013K4;I alt;I alt;Fraskilt;44676
Region Nordjylland;2014K4;I alt;I alt;I alt;582413
Region Nordjylland;2014K4;I alt;I alt;Ugift;271269
Region Nordjylland;2014K4;I alt;I alt;Gift/separeret;229370
Region Nordjylland;2014K4;I alt;I alt;Enke/enkemand;34737
Region Nordjylland;2014K4;I alt;I alt;Fraskilt;47037
Region Nordjylland;2015K4;I alt;I alt;I alt;584918
Region Nordjylland;2015K4;I alt;I alt;Ugift;273833
Region Nordjylland;2015K4;I alt;I alt;Gift/separeret;228606
Region Nordjylland;2015K4;I alt;I alt;Enke/enkemand;34405
Region Nordjylland;2015K4;I alt;I alt;Fraskilt;48074
Region Nordjylland;2016K4;I alt;I alt;I alt;587421
Region Nordjylland;2016K4;I alt;I alt;Ugift;276123
Region Nordjylland;2016K4;I alt;I alt;Gift/separeret;227765
Region Nordjylland;2016K4;I alt;I alt;Enke/enkemand;34161
Region Nordjylland;2016K4;I alt;I alt;Fraskilt;49372
Region Nordjylland;2017K4;I alt;I alt;I alt;588962
Region Nordjylland;2017K4;I alt;I alt;Ugift;277390
Region Nordjylland;2017K4;I alt;I alt;Gift/separeret;227150
Region Nordjylland;2017K4;I alt;I alt;Enke/enkemand;33891
Region Nordjylland;2017K4;I alt;I alt;Fraskilt;50531
Region Nordjylland;2018K4;I alt;I alt;I alt;590010
Region Nordjylland;2018K4;I alt;I alt;Ugift;278785
Region Nordjylland;2018K4;I alt;I alt;Gift/separeret;226401
Region Nordjylland;2018K4;I alt;I alt;Enke/enkemand;33547
Region Nordjylland;2018K4;I alt;I alt;Fraskilt;51277
Region Nordjylland;2019K4;I alt;I alt;I alt;590580
Region Nordjylland;2019K4;I alt;I alt;Ugift;280069
Region Nordjylland;2019K4;I alt;I alt;Gift/separeret;225836
Region Nordjylland;2019K4;I alt;I alt;Enke/enkemand;33349
Region Nordjylland;2019K4;I alt;I alt;Fraskilt;51326
Region Nordjylland;2020K4;I alt;I alt;I alt;590739
Region Nordjylland;2020K4;I alt;I alt;Ugift;281410
Region Nordjylland;2020K4;I alt;I alt;Gift/separeret;223755
Region Nordjylland;2020K4;I alt;I alt;Enke/enkemand;33279
Region Nordjylland;2020K4;I alt;I alt;Fraskilt;52295
